Account_Number,Zip Code,Total_Mortgage_Balances,Total_HE_Balances,Num_Trades_Past_Due,Num_HE_Trades,FICO_Score_Original,Loan Period,Origination_Date,Maturity_Date,LTV_Original,Lien_Position,Origination_DTI,m1_FICO_Score_Current,m1_Commitments,m1_Outstandings,m1_LTV_Current,m1_Day_Past_Due,m1_APR,m1_Deliqunecy,m2_FICO_Score_Current,m2_Commitments,m2_Outstandings,m2_LTV_Current,m2_Day_Past_Due,m2_APR,m2_Deliqunecy,m3_FICO_Score_Current,m3_Commitments,m3_Outstandings,m3_LTV_Current,m3_Day_Past_Due,m3_APR,m3_Deliqunecy,m4_FICO_Score_Current,m4_Commitments,m4_Outstandings,m4_LTV_Current,m4_Day_Past_Due,m4_APR,m4_Deliqunecy,m5_FICO_Score_Current,m5_Commitments,m5_Outstandings,m5_LTV_Current,m5_Day_Past_Due,m5_APR,m5_Deliqunecy,m6_FICO_Score_Current,m6_Commitments,m6_Outstandings,m6_LTV_Current,m6_Day_Past_Due,m6_APR,m6_Deliqunecy
1,98104,0,0,,0,0,7165,11/18/1996,7/1/2016,0,0,0,0,101216.26,102198.94,0,246,0,1,0,101216.26,101216.26,0,263,0,1,0,96302.85,100233.57,0,311,0,1,0,0,0,0,348,0,1,0,0,0,0,365,0,1,0,0,0,0,404,0,1
2,44145,0,0,,0,0,2557,4/29/1998,4/29/2005,0,0,0,0,0,0,0,5288,0,1,0,0,0,0,5527,0,1,0,0,0,0,5085,0,1,0,0,0,0,5220,0,1,0,0,0,0,5143,0,1,0,0,0,0,5281,0,1
3,97402,0,0,,0,0,2555,2/7/1996,2/5/2003,0,1,0,0,0,0,0,6534,0,1,0,0,0,0,6893,0,1,0,0,0,0,6594,0,1,0,0,0,0,6690,0,1,0,0,0,0,6453,0,1,0,0,0,0,6820,0,1
4,98003,0,0,,0,0,1834,7/8/1996,7/16/2001,0,1,0,0,0,0,0,6644,0,1,0,0,0,0,7076,0,1,0,0,0,0,6976,0,1,0,0,0,0,7075,0,1,0,0,0,0,6697,0,1,0,0,0,0,6521,0,1
5,,0,0,,0,0,7314,9/23/2000,10/2/2020,0,1,0,531,14716.64,14231.42,0.112,105,0,1,540,15317.32,14981.2,0.105,138,0,1,556,15467.49,15580.45,0.073,162,0,1,513,15317.32,13520.53,0.078,206,0,1,0,15317.32,14348.32,0,236,0,1,0,15016.98,13382.57,0,260,0,1
6,,0,0,,0,0,7310,2/19/2002,2/24/2022,0,1,0,778,33926.6,34730.21,0.313,0,0,0,814,33124.59,33254.99,0.323,0,0,0,882,33299.03,32778.9,0.219,0,0,0,806,32814.75,30954.04,0.215,0,0,0,854,32327.64,31441.12,0.222,0,0,0,829,30910.38,32521.87,0.211,0,0,0
7,,0,0,,0,0,5635,4/29/2002,10/2/2017,0,1,0,822,1958.11,1658.52,0.029,0,0,0,804,1538.74,1097.08,0.03,0,0,0,743,1062.51,1107.25,0.013,0,0,0,774,643.61,670.16,0.013,0,0,0,787,215.66,213.61,0.008,0,0,0,726,0,0,0.008,0,0,0
8,,0,0,,0,0,5478,9/15/2003,9/14/2018,0,1,0,732,2974.38,3014.93,0.066,0,0,0,749,2796.4,2804.85,0.064,0,0,0,802,2787.91,2739.95,0.042,0,0,0,733,2732.15,2811.53,0.044,7,0,1,787,2374.8,2444.78,0.04,0,0,0,733,2384.71,2216.92,0.041,0,0,0
9,,0,0,,0,0,5478,2/3/2004,2/2/2019,0,1,0,588,5676.9,5752.87,0.045,0,0,0,602,6020.95,5694.45,0.047,16,0,1,589,5375.04,5175.5,0,17,0,1,626,5267.54,5352.44,0,45,0,1,608,5428.79,5511.17,0,80,0,1,632,4913.61,5038.74,0,77,0,1
10,,0,0,,0,0,5480,1/4/2004,1/5/2019,0,1,0,613,10437.49,10215.35,0.11,0,0,0,648,9712.8,9209.85,0.108,0,0,0,635,9865.01,9106.17,0,0,0,0,611,9148.44,9239.02,0,0,0,0,0,8196.42,8714.09,0,0,0,0,0,8277.38,8665.04,0,0,0,0
11,,0,0,,0,0,18508,12/30/2003,9/1/2054,0,1,0,645,111526.27,111228.22,0.11,0,0,0,625,108112.2,114636.06,0.11,19,0,1,589,118256.58,114543.94,0.171,20,0,1,631,114845.33,98287.23,0.166,50,0,1,639,111248.65,107328.74,0.188,20,0,1,646,115692.35,101125.82,0.146,20,0,1
12,,0,0,,0,0,5478,3/16/2004,3/16/2019,0,1,0,866,10122.23,10897.52,0.056,0,0,0,835,10554.04,10283.35,0.054,0,0,0,827,10237.62,9780.88,0.03,0,0,0,786,9349.94,9537.83,0.031,0,0,0,797,9126.56,9394.53,0.027,0,0,0,797,8713.96,8276.31,0.029,0,0,0
13,,0,0,,0,0,5661,6/10/2004,12/10/2019,0,1,0,711,15241.17,16389.21,0.169,0,0,0,642,15736.45,14577.25,0.181,0,0,0,622,14413.75,14020.39,0.146,0,0,0,680,14567.98,14942.65,0.149,0,0,0,659,13438.81,14206.41,0.136,0,0,0,685,13558.47,13485.93,0.136,0,0,0
14,,0,0,,0,0,5477,8/1/2004,7/31/2019,0,1,0,549,9534.58,9476.89,0.063,0,0,0,593,8380.55,8759.24,0.063,0,0,0,605,8125.72,8404.3,0.05,0,0,0,605,7861.96,7923.27,0.048,0,0,0,570,7665.86,7414.04,0.047,0,0,0,582,7088.16,7506.44,0.036,0,0,0
15,,0,0,,0,0,5477,9/20/2004,9/19/2019,0,1,0,788,16935.47,17516.66,0.156,0,0,0,756,16764.92,17159.75,0.166,0,0,0,812,16083.49,15648.62,0,0,0,0,772,16510.38,16369.37,0,0,0,0,828,15807.54,15971.1,0.109,0,0,0,812,14525.39,14225.82,0.111,0,0,0
16,,0,0,,0,0,5629,9/18/2004,2/16/2020,0,1,0,0,31402.49,24362.88,0.282,771,0,1,0,32646.15,25605.88,0.309,773,0,1,0,32335.23,24860.08,0,811,0,1,0,31091.57,23090.83,0,868,0,1,0,30158.82,25015.07,0,891,0,1,0,32335.23,24293.48,0,843,0,1
17,,0,0,,0,0,7479,12/9/2004,6/1/2025,0,1,0,730,36955.56,38639.58,0.205,0,0,0,737,37060.47,36453.56,0.201,0,0,0,681,36032.12,38440.02,0.392,0,0,0,730,37248.46,38540.3,0.402,0,0,0,695,36592.17,35614.45,0.466,0,0,0,723,36306.72,38679.2,0.34,0,0,0
18,,0,0,,0,0,7310,3/19/2002,3/24/2022,0,1,0,820,7065.37,7312.76,0.035,0,0,0,817,6807.58,6977.97,0.034,0,0,0,769,7328.97,7074.05,0.035,0,0,0,825,7204.64,6871.48,0.031,0,0,0,833,7011.44,6543.9,0.038,0,0,0,769,6552.41,6831.86,0.036,0,0,0
19,,0,0,,0,0,5483,4/13/2002,4/17/2017,0,1,0,524,8785.24,6153.58,0.169,1139,0,1,509,8611.28,6153.58,0.172,1216,0,1,536,8524.29,6275.43,0.12,1236,0,1,504,8350.33,5448.53,0.115,1280,0,1,0,8263.35,5343.75,0,1312,0,1,0,0,0,0,0,0,0
20,,0,0,,0,0,7310,6/10/2002,6/15/2022,0,1,0,826,8692.05,8299.3,0.161,0,0,0,717,8076.01,8868.22,0.145,0,0,0,777,8053.62,8168.48,0.141,0,0,0,754,7782.57,8544.2,0.147,0,0,0,811,8080.95,8181.15,0.147,0,0,0,764,8128.38,8308.26,0.15,0,0,0
21,,0,0,,0,0,7310,6/11/2002,6/16/2022,0,1,0,616,49519.3,50765.64,0.141,0,0,0,666,50423.8,49590.9,0.141,0,0,0,620,50776.08,48425.94,0,0,0,0,666,52099.03,50594,0,0,0,0,627,46939.74,50393.66,0,0,0,0,646,48233.94,48207.6,0,0,0,0
22,,0,0,,0,0,5483,6/29/2002,7/3/2017,0,1,0,836,1814.91,1929.36,0.032,0,0,0,849,1870.47,1780.29,0.033,0,0,0,866,824.42,912.14,0,0,0,0,841,352.73,360.91,0,0,0,0,807,352.73,352.73,0,0,0,0,799,0,0,0,0,0,0
